name,ticker,isin,market,scraped_date
2020 BULKERS,2020,BMG9156K1018,XOSL,2025-12-04
5TH PLANET GAMES,5PG,DK0060945467,XOAS,2025-12-04
AASEN SPAREBANK,AASB,NO0010672181,MERK,2025-12-04
ABG SUNDAL COLLIER,ABG,NO0003021909,XOSL,2025-12-04
ABL GROUP,ABL,NO0010715394,XOSL,2025-12-04
ACE DIGITAL,ACED,NO0013531616,MERK,2025-12-04
ADS MARITIME HOLD,ADS,CY0108052115,MERK,2025-12-04
AF GRUPPEN,AFG,NO0003078107,XOSL,2025-12-04
AGILYX,AGLX,NO0010872468,XOSL,2025-12-04
AIRTHINGS,AIRX,NO0010895568,XOSL,2025-12-04
AKASTOR,AKAST,NO0010215684,XOSL,2025-12-04
AKER,AKER,NO0010234552,XOSL,2025-12-04
AKER BIOMARINE,AKBM,NO0010886625,XOSL,2025-12-04
AKER BP,AKRBP,NO0010345853,XOSL,2025-12-04
AKER HORIZONS,AKH,NO0010921232,XOSL,2025-12-04
AKER SOLUTIONS,AKSO,NO0010716582,XOSL,2025-12-04
AKOBO MINERALS,AKOBO,SE0015193412,MERK,2025-12-04
AKVA GROUP,AKVA,NO0003097503,XOSL,2025-12-04
ANDFJORD SALMON GR,ANDF,NO0010829765,MERK,2025-12-04
APPEAR,APR,NO0013683821,XOSL,2025-12-04
AQUA BIO TECHNO,ABTEC,NO0010307135,XOAS,2025-12-04
ARCHER,ARCH,BMG0451H2087,XOSL,2025-12-04
ARCTIC BIOSCIENCE,ABS,NO0010859580,MERK,2025-12-04
ARCTIC FISH HOLDIN,AFISH,NO0010917719,MERK,2025-12-04
ARCTICZYMES TECHNO,AZT,NO0010014632,XOSL,2025-12-04
ARENDALS FOSSEKOMP,AFK,NO0003572802,XOSL,2025-12-04
ARRIBATEC GROUP,ARR,NO0013682948,XOSL,2025-12-04
ATEA,ATEA,NO0004822503,XOSL,2025-12-04
ATLANTIC SAPPHI TR,ASAS,NO0013340802,XOSL,2025-12-04
ATLANTIC SAPPHIRE,ASA,NO0013464750,XOSL,2025-12-04
AURSKOG SPAREBANK,AURG,NO0006001601,XOSL,2025-12-04
AUSTEVOLL SEAFOOD,AUSS,NO0010073489,XOSL,2025-12-04
AUTOSTORE HOLDINGS,AUTO,BMG0670A1099,XOSL,2025-12-04
AWILCO LNG,ALNG,NO0010607971,XOAS,2025-12-04
AXACTOR,ACR,NO0010840515,XOSL,2025-12-04
AYFIE INTERNATIONA,AIX,NO0012861683,MERK,2025-12-04
B2 Impact,B2I,NO0010633951,XOSL,2025-12-04
BAKKAFROST,BAKKA,FO0000000179,XOSL,2025-12-04
BALTIC SEA PROP,BALT,NO0010810476,MERK,2025-12-04
BARRAMUNDI GROUP,BARRA,SGXZ33675836,MERK,2025-12-04
BERGEN CARBON SOL,BCS,NO0010950249,MERK,2025-12-04
BEWI,BEWI,NO0010890965,XOSL,2025-12-04
BIEN SPAREBANK,BIEN,NO0012706763,XOSL,2025-12-04
BLACK SEA PROPERTY,BSP,NO0013685750,MERK,2025-12-04
